title,date
"""Transactions in Crypto May Become Standard,"" KPMG",2018-11-16
"This Investor Beats the Market, Says it's a Good Time to Buy Bitcoin",2018-11-16
Bitcoin and Altcoins Struggle To Recover Above Key Resistances,2018-11-16
"Bitcoin Could Extend Losses Towards USD 5,000",2018-11-15
"The Market Crash: What, Why and What to Expect",2018-11-15
Bitcoin and Altcoins Struggle Near Support Zone,2018-11-14
Bitcoin Scammers Failed to Profit from Attack on Google,2018-11-14
Bitcoin and Altcoins Could Turn Bearish Short Term,2018-11-13
Bitcoin and Altcoins Struggling To Hold Crucial Supports,2018-11-12
Bitcoin and Altcoins Holding Uptrend Supports,2018-11-09
Bitcoin and Altcoins Consolidating Gains Above Key Supports,2018-11-08
Bitcoin Shorts Hit 3-Month Low as Price Climbs,2018-11-07
"Bitcoin and Altcoins Remain Buy On Dips, BCH Rallies 15%",2018-11-07
Gwyneth Paltrow Offers Bitcoin Investing Advice,2018-11-06
Bitcoin Falls Again in Official Chinese Ranking,2018-11-06
"Bitcoin and Altcoins Target Additional Gains, Ripple Jumps 14%",2018-11-06
Bitcoin and Major Altcoins Start This Week in Green,2018-11-05
Bitcoin and Ripple Could Resume Bullish Moves,2018-11-02
3 Out of 4 Bitcoins Didn’t Move in Past 6 Months,2018-11-01
Goldman Sachs Reportedly Launches Bitcoin Derivatives,2018-11-01
Bitcoin and Ethereum Remain Sell on Rallies,2018-10-31
UK: Revised Crypto Tax Guidance Coming in 2019,2018-10-31
Hot or Not: Scientists Clash Over Mining Impact on Global Warming,2018-10-30
Banks Spark Crypto Crackdown Fear in Panama,2018-10-30
The Oldest Bitcoin Exchange Bitstamp Sold,2018-10-29
"Canadian Exchange Claims It Lost Funds, Customers Suspect Exit Scam",2018-10-29
12 Days of…Nothing - What’s Happening to the Market?,2018-10-29
Bitcoin and Ethereum At Risk of More Declines,2018-10-26
Bitcoin Extends Consolidation With Bearish Moves,2018-10-25
Try Your Hand at Bitcoin Mining in this Simple Game,2018-10-24
"Bitcoin and Ethereum Recover, But Gains Limited",2018-10-24
Colombian Crypto Fervor Reaching New Heights,2018-10-24
Bitcoin Price Continues to Fail Near Major Resistance,2018-10-23
Two Good News for Crypto from Institutional Investors,2018-10-23
Now Bitcoin Price is as Stable as Apple Stock,2018-10-23
What Will November Rain Bring for Bitcoin This Year?,2018-10-22
Another Sign that Bitcoin Protocol Is Improving?,2018-10-22
Church Hit with Mining Bill as Legislation Delay Looms in Russia,2018-10-22
What to Do This Weekend: File Your Mt. Gox Claim!,2018-10-19
Bitcoin and Altcoins Target Additional Weakness,2018-10-19
Armenia Opens Massive Crypto Mine,2018-10-19
This Viral Crypto Ad Just Got Almost 2.5 Million Views,2018-10-18
Norwegian Man Stabbed to Death After In-Person Bitcoin Sale,2018-10-18
Bitcoin Futures Trading Gains Momentum,2018-10-18
Pantera Guesses What Bulls Need,2018-10-17
Lightning-Powered E-Bike Showcases Crypto’s Abilities,2018-10-16
"Bitcoin and Altcoins Gains Slowing, But Not Likely Over",2018-10-16
"Huge News: Top Investor Makes a Splash, Crypto Fund’s IPO Live",2018-10-16
Is Another Short-Squeeze in Bitcoin Looming?,2018-10-16
Unusual Crypto Rally Increases Volatility,2018-10-15
Hot Monday Morning in the Market,2018-10-15
Bitcoin and Altcoins Recovery Remains Attractive To Sellers,2018-10-12
Last Days to Join the Controversial Bitcoin ETF Battle,2018-10-12
Bitcoin Goes Sidechain and Becomes More Liquid,2018-10-11
Bitcoin Price Crashes as Whales Are on the Move,2018-10-11
USD 1bn LATAM Tech Unicorn Said Yes to Bitcoin,2018-10-11
"""Crypto is on the Brink of an Implosion"": The Future Guessing Game",2018-10-10
"China Could Damage Bitcoin, Research Shows",2018-10-09
This Move Could Save Israeli Crypto Investors Millions,2018-10-09
"Yale’s ""Warren Buffett"" Gets the Cryptoverse Excited",2018-10-08
Bitcoin Reaches Record-Low Volatility,2018-10-08
When Bottom? When Moon? Best and Worst Performers? Check this Survey,2018-10-05
New Investment by Binance May Bring Crypto into Airports,2018-10-04
Almost 200 Bitcoin ATMs Planned for Argentina as Crisis Bites,2018-10-03
Bitcoin and Altcoins Basing for Next Move,2018-10-02
Bitcoin and Altcoins Remain Supported on Dips,2018-10-01
Bitcoin Rallies Above Key Resistance,2018-09-28
"Bitcoin Stuck In Key Range, Altcoins Face Hurdles",2018-09-27
Good News from Google and Coinbase Didn’t Stop Sell-Off,2018-09-26
Hype is Not Enough to Move Bitcoin price - Research,2018-09-25
Bitcoin’s Surprise: Bad News Didn’t Stop its Rally,2018-09-24
Bitcoin and Altcoins Could Correct Lower Before Going Higher,2018-09-24
Devs Warn to Update Bitcoin Software,2018-09-21
What Does Novogratz Know about Starbuck's Bitcoin Plan?,2018-09-21
"Something New: Bitcoin ETF Delayed Again, BTC Jumps",2018-09-21
Bitcoin Bulls Putting Up a Strong Fight,2018-09-20
Bitcoin Holding Ground While Altcoins Rally,2018-09-19
For Every Bad News the Cryptoverse Has Two Good News,2018-09-18
Majority of Bitcoins Never Move,2018-09-18
Crypto Hedge Funds Expand as Markets Plunge,2018-09-18
Bitcoin and Altcoins Calm Ahead of Next Move,2018-09-17
More Indicators Signal Possible Bitcoin Reversal,2018-09-17
Novogratz Calls Another Bottom,2018-09-14
"This Japanese Company Mined Almost 600 BTC ""Somewhere in Scandinavia""",2018-09-14
Vietnam Banks Halt Crypto Business - Reports,2018-09-14
Allianz Chief Economist: Crypto Is Not Dead,2018-09-13
The Dark Web Delivers: Crowdsourcing for Jihad,2018-09-13
Bitcoin Extends Range While Ethereum Hits New Yearly Low,2018-09-12
Bitcoin and Altcoin Bears Still in Control,2018-09-11
US Regulator Suspends Swedish Crypto Products,2018-09-10
"Goldman Sachs CFO: The Crypto Ditch Is ""Fake News""",2018-09-07
Coinbase Considers Its Own Bitcoin ETF: Report,2018-09-07
"Lightning Network Just Struck 4,000 Bitcoin Accepting Companies",2018-09-06
What’s Going On in the Crypto Market?,2018-09-06
Bitcoin’s Downside Drift Suggests Increased Bearish Bias,2018-09-06
"Bad Wednesday: Prices Plummet, Giant Postpones Crypto Trading Desk",2018-09-05
"Bitcoin Price Facing Uphill Task Near USD 7,400",2018-09-05
"Bitcoin Bulls Remain in Control above USD 7,000",2018-09-04
Bulls Push Bitcoin and Altcoins into Autumn,2018-09-03
"Research Predicts Bitcoin at USD 144,000, Community Amused",2018-08-31
"Bitcoin Rebounds After Bulls Defend USD 6,800",2018-08-31
Bitcoin Dips Remain Attractive To Buyers,2018-08-30
Russian Crypto Mining Mania Stays Strong Despite Risks,2018-08-30
"Bitcoin Settles Above USD 7,000, Altcoins Consolidate Gains",2018-08-29
Bitcoin Rally Boosts Market Sentiment,2018-08-28
This Market Could Predict Bitcoin’s Next Move,2018-08-27
Bitcoin ETF Review Unlikely to Succeed,2018-08-27
You Can Now File Your Mt Gox Rehabilitation Claim,2018-08-24
"Bitcoin Holds Key Supports, Altcoins Consolidate",2018-08-24
SEC to Review Previous ETF Rejection,2018-08-24
"Deja vu: SEC Rejects ETFs, Bitcoin Slides",2018-08-23
How Many Bitcoins Does Satoshi Have?,2018-08-22
Bitcoin and Altcoins Skyrocket,2018-08-22
Bitcoin Spikes by 5% in 5 Minutes on Likely Short Squeeze,2018-08-22
"Bitcoin ETF Decision Upcoming, Community Is Divided",2018-08-22
Bitcoin and Altcoins Under Renewed Selling Pressure,2018-08-21
21 y/o Bitcoin Dealer Faces Up to 20 Years in Prison,2018-08-20
Bitcoin and Altcoins In Slow and Steady Uptrend,2018-08-17
The New Way For Investors in the US to Invest in Bitcoin,2018-08-17
Mining Giant Terminates Unprofitable Customers,2018-08-17
A Short Squeeze in Bitcoin Looms. What Is It?,2018-08-16
Cannabis IPO Changed Its Mind Regarding Bitcoin,2018-08-15
ETF Faces Chicken-And-Egg Problem: CBOE President,2018-08-15
HODL or Not? The Sentiment Against Hodling Gets Stronger,2018-08-14
Worldwide Hunt for Satoshi Gains Traction #Findsatoshi,2018-08-13
Turkish Lira Freefall Shows the Power of Bitcoin,2018-08-13
Crypto Adoption Must Keep Up with Price - Investor,2018-08-13
This Issue is Crucial for Bitcoin ETF,2018-08-10
This Ratio Shows that Bitcoin is Better than Stocks,2018-08-09
Canaan Challenges Bitmain with New Miner,2018-08-09
Bitcoin ATM Malware Emerges: Security Firm,2018-08-09
"SEC Postpones ETF Decision, Bitcoin Slides",2018-08-08
"Meet Top 15 Ransomware Families Who Got More Than 22,000 Bitcoins",2018-08-07
Mining Booms in Russia Despite Falling Profits,2018-08-07
"New Highs For BTC Unlikely in 2018, China Could Help - Investor",2018-08-06
Beware! Pump-and-Dumps Persist in the Market,2018-08-06
Politicians Add Crypto Miners To Their List of “Enemies”,2018-08-03
Bitcoin Trades at Potentially Significant Turning Point,2018-08-03
Mt. Gox Creditors’ New Plan To Get Their Coins Back,2018-08-03
Bitcoin Must Hit USD 213K to Replace Dollar: Bank,2018-08-03
Your TV Set May Become a Mining Rig,2018-08-02
Tug-of-war Between Bitcoin Bears and Bulls,2018-08-02
When Nobel Winner Asks What Problems Bitcoin Solves...,2018-08-01
Bitcoin Rally Faces Headwind as Price Dips,2018-08-01
Smaller Investors Intrigued by Bitcoin More,2018-07-31
"Bitcoin Remains Supported, Altcoins Struggle",2018-07-31
How Kim Kardashian Helps the Adoption of Bitcoin,2018-07-31
Bitcoin and Altcoins Preparing For Next Leg Higher,2018-07-30
Bitcoin Less Risky Now Than at USD 100 - Investor,2018-07-30
Technicals Point to Extended Bitcoin Rally,2018-07-27
"Winklevoss ETF Rejected, Bitcoin Drops",2018-07-27
Bitcoin Consolidating Gains While Altcoins Climb Higher,2018-07-26
Bitcoin Futures Expiry Date Ahead – What to Expect,2018-07-26
Bitcoin Miners Unload Coins,2018-07-26
Missed The BTC Party? Don't Let the FOMO Kick In!,2018-07-25
"Bitcoin Bulls In Control, Dips Remain Attractive",2018-07-25
How Bitcoin's Rally May Harm Bitcoin,2018-07-25
Bitcoin ETF: It's Getting Hot in Here,2018-07-24
"Bitcoin Hits 8,000 USD, Altcoins Struggle to Catch Up",2018-07-24
Bitcoin Targets Additional Gains,2018-07-23
To Bottom or Not to Bottom,2018-07-20
Hundreds of Millions Pour into Crypto Fund Despite Bear Market,2018-07-20
"Battle of the Billionaires, Crypto Edition",2018-07-19
Bitcoin and Altcoins Remain Buy on Dips,2018-07-19
Experts Weigh in On Future of Money at US Congressional Hearings,2018-07-19
"Bitcoin Skyrockets, Can BTC/USD Climb Toward USD 8,000?",2018-07-18
"Charlie Lee Urges Buy Bitcoin And It Jumps Above USD 7,000",2018-07-18
Bitcoin and Altcoins Signaling Bullish Continuation,2018-07-17
The Largest Asset Manager Sends Mixed Message To Crypto Market,2018-07-16
Bitcoin as a Bus Station,2018-07-16
Bitcoin and Altcoins Open The Week With Bullish Moves,2018-07-16
Bitcoin and Altcoins Near Make-or-Break Levels,2018-07-13
Bitcoin and Altcoins Struggling To Hold The Ground,2018-07-12
Bitcoin Remains Best Cryptocurrency: Wall Street’s “Crypto King”,2018-07-12
Bitcoin and Altcoins Move Into Bearish Zone,2018-07-11
Bitcoin and Altcoins Trimmed Most of Last Week’s Gains,2018-07-10
Bitcoin and Altcoins Accelerating Gains,2018-07-09
Weather vs. Crypto: Conditions Dented the Global Hashrate,2018-07-09
Tom Lee “May Have Misspoke a Little Bit” in Bitcoin Predictions,2018-07-06
This Shop Claims Its Sales Boomed by 427% Due To Crypto Payments,2018-07-05
Bitcoin and Altcoins Primed for More Gains,2018-07-05
Bitcoin and Altcoins Correcting Towards Crucial Supports,2018-07-04
"Tom Lee Blames Regulators for Bitcoin Decline, Cuts Forecast",2018-07-04
Malware Monitoring 2.3 Million Bitcoin Addresses,2018-07-03
Bitcoin and Altcoins Buyers Back in Driver's Seat,2018-07-03
"More Than 3m Bitcoin Holders in China Despite Ban, Says Researcher",2018-07-03
"If Satoshi Nakamoto Is Writing a Book, You Can Start Reading It Here",2018-07-02
"Bitcoin Ends First Half in Red, Can Second Half Bring Happiness?",2018-07-02
SEC Requests Feedback on New Bitcoin ETF Proposal,2018-07-02
20% of UK Millennials Prefer Bitcoin Over Real Estate - Survey,2018-06-28
Bitcoin Dominance Rate Rising: At the 2 Month Maximum,2018-06-28
Booking Giant Disables Bitcoin Payments,2018-06-28
"Social Media Influences Bitcoin Price, Research Shows",2018-06-27
Bitcoin and Altcoins Signaling Bearish Continuation,2018-06-27
Bitcoin and Altcoins Facing Significant Resistance,2018-06-26
One Bad And Two Great News For Crypto,2018-06-26
"250 Million Tethers Injected into Market, How Will Bitcoin React?",2018-06-26
"Jack Ma Goes for Blockchain, But Bitcoin Is ""Still a Bubble""",2018-06-25
"Bitcoin and Altcoins Recover, Face Crucial Barriers",2018-06-25
Mt. Gox Creditors One Step Closer To Their Bitcoins,2018-06-22
"Bitcoin and Altcoins Failed Again, Tumbles Sharply",2018-06-22
Bitcoin Mining in Canada Might Become Less Profitable,2018-06-22
What's Happening In the Market? An Optimistic And Pessimistic View,2018-06-20
Crypto Hedge Fund Underperformed Bitcoin Last Month,2018-06-20
Bitcoin and Altcoins Signaling Bullish Continuation,2018-06-19
Chinese Rich Kids Still Mine Bitcoin Despite The Government’s Efforts,2018-06-19
"Expert Doubles Down on USD 60,000 Price Prediction for Bitcoin",2018-06-18
Bitcoin and Altcoins Extends Upside Recovery,2018-06-15
Bitcoin Sell-Off Caused by Futures Expiring - Tom Lee,2018-06-15
Bitcoin and Altcoins Showing Signs of Life,2018-06-14
"Last Year's Bitcoin Prices Manipulated, Experts Claim",2018-06-13
US Banks Could Face Downgrades for Clearing Bitcoin Futures,2018-06-13
"Bitcoin Finds Buying Interest, Altcoins Trade Higher",2018-06-12
Bitcoin and Altcoins Under Heavy Selling Pressure,2018-06-11
Bitcoin Tumbled Following South Korean Exchange Hack,2018-06-11
"Bitcoin is Bottoming and May Break Out, Experts Say",2018-06-08
Bitcoin and Altcoins Confined In Tiny Range,2018-06-08
Adoption Ideas: Bitcoin Shopping Mall and Russian Crypto Village,2018-06-07
Bitcoin and Altcoins Gaining Bullish Traction,2018-06-07
"Was Satoshi Nakamoto Pleasant To Work With? No, Says Developer",2018-06-06
Bitcoin and Altcoins Positioned for Further Upsides,2018-06-06
"Bitcoin, ICOs Slowing Down and Looking For New Narrative",2018-06-05
Bitcoin Is Struggling to Hold Gains,2018-06-05
Market Weekly Outlook: Bitcoin Holding Uptrend Support,2018-06-04
Bitcoin and Altcoins Remains Attractive to Buyers,2018-06-01
Bitcoin May Be at Profit-Taking Stage of a Bubble - Expert,2018-06-01
Bitcoin and Altcoins Basing for Next Move Higher,2018-05-31
"Long-Time Bitcoin Critic, Nobel Laureate Gives a Hope to Crypto",2018-05-31
Bitcoin and Altcoins Rally Could Extend Further,2018-05-30
"How Much Does it Cost to Attack Bitcoin, Ethereum and Other Coins",2018-05-29
Bitcoin and Altcoins Trading Near Crucial Juncture,2018-05-29
"How to Throw Away 7,500 Bitcoins",2018-05-28
Market Weekly Outlook: Bitcoin Targets Fresh Lows,2018-05-28
Bitcoin and Altcoins Consolidating Losses With Positive Signs,2018-05-25
Investors: Probe into Bitcoin Manipulation Is a Good Thing,2018-05-25
"Bitcoin and Altcoins Nosedived, Tom Lee Still Predicts USD 25K per BTC",2018-05-24
Deutsche Boerse “Deep at Work” on Bitcoin Futures Trading,2018-05-24
Bitcoin and Altcoins At Risk of More Declines,2018-05-23
